大会名,節,HOME/AWAY,試合日付,曜日,キックオフ,対戦相手,会場,一次販売開始,二次販売開始,三次販売開始,一般販売開始,試合結果,勝敗,観客数
J1百年構想リーグ 地域リーグラウンド,第1節,HOME,2026/02/06,金,19:00,FC町田ゼルビア,日産スタジアム,2026/01/17 12:00,2026/01/18 12:00,2026/01/19 12:00,2026/01/21 12:00,,,
J1百年構想リーグ 地域リーグラウンド,第2節,AWAY,2026/02/14,土,15:00,鹿島アントラーズ,メルカリスタジアム,,,,2026/01/22 10:00,,,
J1百年構想リーグ 地域リーグラウンド,第3節,HOME,2026/02/21,土,14:00,浦和レッズ,日産スタジアム,2026/01/31 12:00,2026/02/01 12:00,2026/02/02 12:00,2026/02/04 12:00,,,
J1百年構想リーグ 地域リーグラウンド,第4節,HOME,2026/02/28,土,13:00,東京ヴェルディ,日産スタジアム,2026/01/31 12:30,2026/02/01 12:00,2026/02/02 12:00,2026/02/04 12:00,,,
J1百年構想リーグ 地域リーグラウンド,第5節,AWAY,2026/03/07,土,14:00,FC東京,MUFGスタジアム,,,,"販売概要発表：試合日の5～7週間前
販売日：試合日の約4～6週間前",,,
J1百年構想リーグ 地域リーグラウンド,第6節,HOME,2026/03/14,土,13:00,ジェフユナイテッド千葉,日産スタジアム,2026/02/07 12:00,2026/02/08 12:00,2026/02/09 12:00,2026/02/11 12:00,,,
J1百年構想リーグ 地域リーグラウンド,第7節,AWAY,2026/03/18,水,19:00,水戸ホーリーホック,ケーズデンキスタジアム水戸,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第8節,AWAY,2026/03/22,日,15:00,川崎フロンターレ,MUFGスタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第9節,AWAY,2026/04/05,日,14:00,柏レイソル,三協フロンテア柏スタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第10節,HOME,2026/04/11,土,15:00,FC東京,日産スタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第11節,HOME,2026/04/18,土,13:00,川崎フロンターレ,日産スタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第12節,AWAY,2026/04/25,土,14:00,浦和レッズ,埼玉スタジアム2002,,,,2026/03/08 10:00,,,
J1百年構想リーグ 地域リーグラウンド,第13節,AWAY,2026/04/29,水,14:00,ジェフユナイテッド千葉,フクダ電子アリーナ,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第14節,HOME,2026/05/02,土,14:00,水戸ホーリーホック,日産スタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第15節,AWAY,2026/05/06,水,16:00,FC町田ゼルビア,町田GIONスタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第16節,HOME,2026/05/10,日,14:00,鹿島アントラーズ,日産スタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第17節,HOME,2026/05/16,土,17:00,柏レイソル,日産スタジアム,,,,,,,
J1百年構想リーグ 地域リーグラウンド,第18節,AWAY,2026/05/24,日,14:00,東京ヴェルディ,味の素スタジアム,,,,,,,
J1百年構想リーグ プレーオフラウンド,第1戦,AWAY,2026/05/30,土,未定,WESTグループ同順位,未定,,,,,,,
J1百年構想リーグ プレーオフラウンド,第2戦,HOME,2026/06/06,土,17:00,WESTグループ同順位,日産スタジアム,,,,,,,
